대상,상품
 적금 20만원 이상 자동 이체를 하는 사람,241
의료 관련 국가 전문자격(면허)을 보유한 사람들,242
 의료기관에서 사무직으로 근무하는 사람들,242
 3개월 이상 재직하거나 사업을 영위하는 의료 관련 국가 전문자격(면허)을 보유한 사람들,242
" 간호조무사, 안경사, 간호사, 물리치료사, 치과위생사, 방사선사, 임상병리사, 치과기공사, 작업치료사, 의지보조기기사, 정신보건임상심리사, 안경사, 언어재활사, 의무기록사, 간호조무사 자격을 보유한 사람들",242
" 거래실적에 의한 우대금리를 받을 수 있는 사람들(공과금 이체, 신한카드 사용실적, 급여이체, 예금적금청약저축연금신탁 일정잔액 유지, 신한 SOL 이체 실적 등)",242
정규직 소방공무원이나 임용예정자,243
 마이너스통장이 가능한 고객,243
 공과금(지로) 관리비 이체 및 신한카드 결제계좌 지정과 관련하여 거래실적이 있는 고객,243
 일정금액의 급여이체가 확인되는 고객,243
 예금적금청약저축연금신탁 일정잔액을 유지하고 있는 고객,243
경찰청 소속 공무원이며 마이너스통장을 가지고 있는 사람들,244
 경찰청 소속 무기계약직으로 재직 기간 3개월 이상인 사람들,244
 퇴직한 경찰 공무원으로 연금을 수급받는 사람들,244
 신한은행의 심사기준을 충족하는 고객들,244
 경찰 임용 예정자 또는 퇴직 경찰공무원으로 최대 20백만원까지 대출 가능한 사람들,244
사업을 하거나 창업을 할 계획이 있는 사람들,245
 소상공인으로서 자금이 필요한 사람들,245
 저소득층이나 금융적으로 어려움을 겪고 있는 사람들,245
 금융지원이 필요한 사회적 약자들,245
 비즈니스를 확장하거나 사업을 유지하기 위해 자금이 필요한 사람들,245
군인 및 군인연금 수급권자,246
" 장교, 부사관, 준사관(준위), 군무원, 군인연금 수급권자",246
" 사관학교 2~4학년 생도 (육군, 해군, 공군, 육군3사, 국군간호)",246
 최근 3개월내 50만원 이상의 급여이체가 확인된 경우,246
 신한카드(신용) 당행결제계좌 지정 및 최근 3개월 매입실적 50만원 이상의 경우,246
주택을 담보로 제공하고 소득이 있는 개인들,247
 부부 합산 연소득이 7천만원 ~ 1억원 이하인 고객들,247
 맞벌이 신혼가구로 주택 구입을 고려하는 고객들,247
 무주택 또는 1주택을 소유하고 있는 고객들,247
 대출 대상 주택의 가격이 6억원 이하인 고객들,247
 소득증빙이 가능한 개인,248
아파트를 소유하고 있는 만 19세 이상 내국인,248
 신한카드나 은행 계좌를 사용하는 고객,248
 급여이체나 카드 매출 등이 있어 신용도가 높은 고객,248
 부동산 전자계약 설정이나 모범납세자 등 특정조건을 충족하는 고객,248
대출신청일 현재 대출대상주택을 임차하고자 주택임대차계약을 체결하고 임차보증금의 5% 이상을 지불한 사람들,249
 대출신청일 현재 세대주로서 세대주를 포함한 세대원 전원이 무주택인 사람들,249
 부부합산 연간 총소득이 5천만원 이하인 사람들,249
 신혼가구 혁신도시 이전 공공기관 종사자 타 지역으로 이주하는 재개발 구역내 세입자 다자녀가구 2자녀 가구인 사람들 (차주 및 배우자 합산 총소득 6천만원 이하),249
 주택금융신용보증서 또는 협약기관과의 채권양도방식으로 상환할 수 있는 사람들,249
직장인: 정규직 직장에 종사하고 있는 사람들은 대출 상품인 페퍼다이렉트론을 이용할 수 있습니다.,250
 공무원: 공무원은 안정적인 직장이며 소득증빙이 가능하기 때문에 페퍼다이렉트론을 이용할 수 있는 사람들 중 하나입니다.,250
 프리랜서: 소득증빙이 필요하며 수입이 변동적이지만 페퍼다이렉트론 대출 상품을 이용할 수 있는 자영업자 중에 해당됩니다.,250
" 전문직: 전문적인 기술과 지식을 가진 사람들로, 소득증빙이 가능하면 페퍼다이렉트론을 이용할 수 있습니다.",250
" 자영업자: 기업주 또는 개인사업자로, 소득증빙을 통해 상환 능력을 확인할 수 있는 사람들 중 하나입니다.",250
현재 근로소득증명원이 발급되고 개인사업자 신규전세자금 또는 생활안정자금을 필요로 하는 사람들,251
 부동산 중개업소를 통해 주택임대차계약을 체결하고 임차보증금의 5% 이상을 지불한 사람들,251
 금융비용 부담율 40% 이내로 대출을 받을 수 있는 사람들,251
 무주택이거나 1주택을 보유한 사람들 (기혼일 경우 배우자와 합산),251
 아파트 연립 다세대 주택을 소유하고 KB시세검색이나 국토교통부 공시 공동주택가격 조회가 가능한 사람들,251
부동산중개업소를 통해 주택임대차계약을 체결한 임차보증금의 5% 이상을 지급한 고객,252
 현재 직장에서 1년 이상 근무중인 직장인,252
 주택금융공사의 보증서 발급이 가능한 고객,252
 무주택(배우자 포함)으로 확인된 고객,252
 개인사업자 (소득금액증명원 스크래핑 가능 고객),252
1년 이상 임대차계약을 체결하여 임차보증금의 5% 이상을 지급하고 주택도시보증공사 보증서 발급이 가능한 고객,253
 신규계약 고객 또는 갱신계약 고객으로 3개월 이내에 대출신청한 고객,253
" 임대인이 부동산등기부등본 상 3개월 이상 해당 주택을 소유하고 있는 고객 (단, 신규 분양아파트 최초 수분양자 또는 임차인이 현직장 기준 1년 이상 재직중인 경우 예외)",253
 부동산 중개업소를 통한 임대차계약으로 임차보증금액 조건을 충족한 아파트 연립 다세대주택을 소유하고 있는 고객,253
 일정 금액 이상의 급여이체 또는 마이샵케어서비스 이용하거나 신한카드(신용)를 이용한 고객,253
"청년층인 만 19세~34세 이하의 무주택 세대주로, 부부 합산 연소득이 7천만원 이하이고 월세금과 임차보증금도 제한된 범위 내에 있는 사람들.",254
 잔여임대차(월세) 기간이 6개월 이상인 사람들.,254
" 예비세대주로, 현재 세대주가 아니지만 1개월 이내에 세대주 요건을 충족하는 사람들.",254
 모든 주택 및 주거용 오피스텔에 거주하고 있는 사람들.,254
" 대환 대출을 위해 신한 청년월세대출의 기본 대상자 요건을 충족하고, 금융기관의 월세 용도 대출을 연체 없이 이용 중이며, 잔여임대차(월세) 기간이 6개월 이상인 사람들.",254
중소 중견 기업에서 재직 중인 청년 창업자로서 중소기업진흥공단 신용보증기금이나 기술보증기금으로부터 청년 창업자금을 지원받은 자,255
" 만 34세 이하의 무주택 세대주로, 세대주 예정자도 해당",255
 병역법에 따라 현역으로 병역의무를 이행한 경우에는 만 39세까지도 대출 가능,255
" 부부의 경우, (외벌이 또는 단독세대주)로서 부부합산 연소득이 3500만원 이하인 경우",255
" 맞벌이 부부의 경우, 부부합산 연소득이 5000만원 이하인 경우",255
만 19세~34세 이하의 무주택(배우자 포함) 세대주로 임차보증금의 5% 이상을 지급하고 부부 합산 연소득이 7천만원 이하인 청년들.,256
 이전에 실행된 임차보증금 용도 대출잔액이 6개월 이상인 고객으로 잔여임대차 기간이 6개월 이상인 대상자들.,256
 주택이나 주거용 오피스텔에 신규 임차 또는 계약 갱신을 하려는 사람들.,256
" 임대차계약 기간에 따라 기한 연장이 가능하며, 만 35세 이후 1회에 한하여 기한 연장이 가능한 사람들.",256
 대출 기간을 6개월 이상 36개월 이하로 하고 만 34세까지 해당 사람들.,256
주택을 소유하고 있는 사람들: 신한주택대출은 주택을 담보로 제공해야 하기 때문에 주택을 소유하고 있는 사람들이 이용할 가능성이 있습니다.,257
 주택 구매를 계획하고 있는 사람들: 신한주택대출은 주택을 구매하기 위한 자금을 대출해주는 상품이기 때문에 주택 구매를 계획하고 있는 사람들이 이용할 가능성이 있습니다.,257
 소득이 있는 개인들: 대출 신청을 위해서는 소득증빙이 가능해야 하므로 소득이 있는 개인들이 이용할 가능성이 있습니다.,257
 신한카드 사용자들: 신한카드(신용) 사용자들은 거래실적에 의한 우대금리를 받을 수 있기 때문에 이용할 가능성이 있습니다.,257
 서민실수요자들: 부부합산 소득이 연 7천만원 이하이고 주택가격이 6억원 이하인 무주택세대는 서민실수요자로서 우대금리를 받을 수 있으므로 이용할 가능성이 있습니다.,257
만 34세 이하의 부부이며 연소득이 2천만원 이하인 무주택 세대주,258
"8억원 이하이며 자산 중 부동산, 일반자동차, 금융자산 등을 포함한 금융부채와 일반부채를 제외한 경우4. 대출을 받은 후 자산심사 결과에 따라 자산기준이 초과되어 가산금리나 변경금리가 적용되는 경우에도 대출을 희망하는 사람들5. 월세금 대출로 월세총액 960만원(월 40만원) 이내의 대출 한도 내에서 대출을 받고 싶은 사람들",258
"8억원 이하이며 자산 중 부동산, 일반자동차, 금융자산 등을 포함한 금융부채와 일반부채를 제외한 경우",258
 대출을 받은 후 자산심사 결과에 따라 자산기준이 초과되어 가산금리나 변경금리가 적용되는 경우에도 대출을 희망하는 사람들,258
 월세금 대출로 월세총액 960만원(월 40만원) 이내의 대출 한도 내에서 대출을 받고 싶은 사람들,258
임차보증금을 5억원 이하로 지불하고 보증서 발급이 가능한 사람,259
 주택임대차 계약 및 주민등록 전입 조건을 충족하여 우선변제권을 확보한 사람,259
 부부 합산 주택보유 수 기준으로 무주택자 또는 연소득 1억원 이하의 1주택자,259
" 공과금 이체 및 신한카드 결제 및 예금, 적금, 청약, 저축연금 등을 통한 금리 우대를 받을 수 있는 사람",259
 한국주택금융공사 보증서를 담보로 신한은행에서 건별대출을 받을 수 있는 사람,259
근로자로서 고정된 소득을 가지고 있는 사람들,260
 금융회사의 심사에 통과하기 쉬운 사람들,260
 금융상품을 통해 큰 금액의 대출을 받을 수 있는 사람들,260
 금리에 크게 영향을 받지 않고 대출을 받을 수 있는 사람들,260
주택을 담보로 제공할 수 있는 고객,261
 부부 합산 연소득이 7천만원 ~ 1억원 이하인 고객,261
 맞벌이 신혼가구로서 주택 구입을 위해 자녀 수와 부부 합산 연소득 조건을 충족하는 고객,261
 무주택이거나 1주택 소유자인 부부 기준으로 주택 구입을 위해 자금을 조달하려는 고객,261
" U보금자리론 상품의 우대금리 조건(한부모, 장애인, 다문화, 다자녀, 신혼가구 등)을 충족하는 고객",261
주택 임대차 계약 만료 또는 해지로 인해 임대보증금을 반환해야하는 개인,262
 한국주택금융공사 '임대보증금반환자금보증'규정에 따라 보증서 발급 가능한 자,262
 임차인이 해당 주택에 대항력을 유지하고 있을 것,262
" 주택이 아파트, 단독주택, 다세대(연립), 다가구일 것",262
 고가주택이 아닌 것,262
주택 구매를 계획하고 있는 30세 이하의 무주택자,263
 주택 구매 시 높은 LTV 비율을 필요로 하는 사람,263
71억원 이하인 사람,263
부도임대주택에서 퇴거 당하거나 퇴거 당할 예정인 임차인,264
 임차보증금의 5% 이상 지불 및 주택임대차계약 체결한 자,264
 세대주 및 세대원 전원이 무주택인 자,264
 주택에 계속 거주 중인 자 또는 퇴거한 자,264
 건물등기부등본 또는 건축물관리대장상 주택에 임차 중인 자,264
근로자 중에서 월급이 낮아서 자금이 부족한 사람들,265
 사업자로서 자금을 투자하고 싶은 사람들,265
 연금소득자로서 추가 자금이 필요한 사람들,265
 금리가 높더라도 대출 한도가 큰 것을 선호하는 사람들,265
" 대출 상품에 대한 상세한 설명이 필요하지 않고, 간편하게 대출받고자 하는 사람들",265
재건축 재개발 조합원: 도시 및 주거환경정비법에 의한 사업계획 승인을 받은 재건축재개발 조합의 조합원들이 이주비 대출 상품을 이용할 것 같습니다.,266
 리모델링 계획자: 재건축재개발 조합원 중에서 리모델링을 계획하고 있는 사람들이 이주비 대출 상품을 이용할 것 같습니다.,266
 도시 개발에 관심 있는 사람들: 도시 및 주거환경정비법에 의한 사업계획 승인을 받은 재건축재개발 조합원들은 도시 개발에 관심이 있는 사람들일 것입니다.,266
 주거환경 개선을 원하는 사람들: 리모델링 포함하여 주거환경을 개선하고자 하는 사람들이 이주비 대출 상품을 이용할 것 같습니다.,266
 자금 부족한 사람들: 재건축재개발 조합원들의 이주에 필요한 자금이 부족한 사람들이 이주비 대출 상품을 이용할 것 같습니다.,266
분양금을 지급한 사람들 or 주택관련 중도금 대출을 필요로 하는 분양계약자들,267
 도시 및 주거 환경정비법에서 정한 조합주택(재건축 재개발)의 조합원들,267
 분양(조합)주택 전매로 분양계약을 승계한 사람들,267
 오피스텔 및 상가를 분양 받아 분양계약을 체결한 사람들,267
 주택금융공사 보증서 또는 주택도시보증공사 보증서 담보를 가지고 있는 사람들,267
주택을 임차하려는 외국인 및 외국국적동포,268
 소득증빙 가능한 만 19세 이상 외국인 또는 외국국적동포,268
 주택 임대차계약을 체결하고 임차보증금의 5% 이상을 지급한 임차인,268
 부동산 중개업소를 통해 주택을 임차하려는 사람,268
" 아파트, 연립주택, 다세대주택, 주거용 오피스텔, 노인복지주택을 대상으로 하는 사람",268
주택 소유자: 주택을 담보로 제공하고 대출을 받고자 하는 사람,269
 내국인: 대출을 받고자 하는 사람은 국적이 내국인인 사람,269
" 주택 가격 9억원 이하의 아파트, 단독주택, 연립 다세대주택 소유자",269
 모기지신용보험 가입한 고객: 소액보증금 해당액에 대한 모기지신용보험을 가입한 사람,269
 임대차 사실이 없는 사람: 대출 받으려는 주택에 현재 임대차 관계가 없는 사람,269
무주택인 세대주,270
 취업준비생 (만 35세 이하)으로 부모와 따로 거주 또는 독립예정자로써 부모 연소득 6천만원 이하의 무소득자,270
 희망키움통장 가입자,270
 근로장려금 또는 자녀장려금 수급중인 세대주,270
 사회초년생 (만 35세 이하) 부부합산 연소득 4천만원 이하의 취업 5년 이내인 자,270
주택을 소유하고 있는 만 60세 이상의 고령자로서 노후 생활을 안정적으로 살고 싶은 사람,271
" 부부가 함께 주택을 소유하고 있으며, 합산 가격이 9억원 이하인 만 55세 이상의 고령자로서 주거 안정과 소득 보장이 필요한 사람",271
" 주택금융공사에 담보로 주택을 제공할 수 있으며, 주택 가격이 9억원 이하이고 노인복지주택이 아닌 주택을 소유한 사람",271
" 현재 대출 상품에 대한 이자를 납입하는 날에 이자를 납입하지 않거나 대출을 상환하지 않는 경우, 약정 이자에 가산되는 연체 금리를 최대 15% 이내로 적용받을 수 있는 사람",271
" 종신원칙에 따라 부부 모두 사망할 때까지 대출을 보장받고, 대출 기한을 연장할 수 있는 은행의 심사를 통해 대출 갱신이 가능한 사람",271
전세 계약 만료 후 전세보증금을 안전하게 돌려받아 대출금을 상환할 수 있는 주택도시보증상품을 이용하고자하는 임차인.,272
 부부 합산 주택 보유수 기준 무주택자이거나 1주택자인데 부부합산 연소득이 1억원 이하인 사람들.,272
 전세계약서상 입주일 또는 주민등록전입일로부터 3개월 이내 또는 갱신계약체결일로부터 3개월 이내에 대출을 신청하고자 하는 사람들.,272
" 거래실적이나 신한카드 사용실적, 예금적금청약저축연금신탁 일정잔액 유지 등 여러 조건을 충족한 사람들.",272
 신규건 신청시 발행된 제휴 쿠폰을 사용하여 삼성전자 디지털프라자에서 50만원 이상 가전제품을 구매한 고객.,272
주택을 임차하려는 고객,273
 부동산 중개업소를 통해 임차보증금을 지불한 고객,273
 세대주로 성년자인 고객,273
 주택금융신용보증서 발급 가능한 고객,273
 부부 합산 주택 보유 수 기준 무주택자 또는 1주택자인 고객 (부부합산 연소득 1억원 이하),273
주택을 임차하려는 부부로서 주택 보유 수가 기준에 맞는 경우,274
 주택을 임차하려는 개인으로서 보증보험의 보증부적격자가 아닌 경우,274
 최근 3개월 이내에 공과금(지로) 관리비를 이체한 경험이 있는 경우,274
 최근 3개월 이내에 신한카드를 사용해 최소 50만원 이상 결제한 경험이 있는 경우,274
 체크카드를 사용해 최근 3개월 이상에 걸쳐 최소 50만원 이상 결제한 경험이 있는 경우,274
작은 사업을 운영하는 소상공인들 중에 경제적으로 어려움을 겪고 있는 사람들은 이 대출 상품을 이용할 것 같습니다.,275
 대출금액이 큰 편이라 경영 확장이나 새로운 사업을 시작하고자 하는 사업자들이 이 대출 상품을 이용할 것 같습니다.,275
 이전에 채무 조정을 받은 경험이 있는 사람들은 다시 사업을 시작하거나 확장하고자 할 때 이 대출 상품을 이용할 것 같습니다.,275
 변동금리 대출 상품에 관심이 있는 사람들은 이 대출 상품을 이용할 것 같습니다.,275
 최대 대출한도가 10000인 것으로 보아 비교적 작은 규모의 사업을 운영하는 소상공인들이 이 대출 상품을 이용할 것 같습니다.,275
"임대주택에 입주한 개인 고객으로, 임차보증금을 5억원 이하로 지불한 상황이며, 주택의 입주와 주민등록 전입이 완료되어 우선변제권을 확보할 수 있는 경우",276
 부부 합산 주택보유 수가 무주택자이거나 부부합산 연소득이 1억원 이하인 1주택자인 경우,276
" 주택으로 아파트, 단독주택, 다세대(연립), 다가구 등 주택법상 주택으로 분류되는 경우",276
" 공과금(지로) 관리비 이체, 신한카드 사용, 예금적금청약저축연금신탁 등 여러 금융상품을 이용하여 우대금리를 받을 수 있는 경우",276
" 최대 222백만원 이내의 대출금액을 받을 수 있는데, 임차보증금의 일정 비율이나 기존 전세(월세)자금보증잔액, 주택금융공사 보증서 잔액 합계 중 작은 금액이 대출한도로 결정되는 경우",276
만 30세 미만이지만 무주택이 아닌 경우,277
 대출 신청인과 배우자의 합산 총소득이 연간 6천만원 이하인 부부,277
71억원 초과되지 않는 경우,277
5배 이내인 경우,277
 1년 이자만 납부하고 19년 또는 3년 이자만 납부 후 17년 동안 원리금 균등분할 상환을 할 것으로 예상되는 사람,277
"생애 최초 주택 구입을 계획하는 만 19세 이상 세대주로서, 세대주와 함께 전원이 무주택인 사람",278
 단독주택을 구입하거나 만 30세 미만의 단독주택주는 제외된 사람,278
71억원 이내인 사람 (가산 금리 또는 변경 금리 적용)5. 구입자 (부부 합산) 연소득의 ,278
5배 이내 (단 소득이 없거나 연소득이 18백만원 이하인 경우에는 80백만원 이내),278
 상업용 부동산을 소유하고 있는 사업자들,279
 상가나 오피스를 운영하고 있는 사업자들,279
 부동산 담보 대출로 금융 자원 효율을 높이고 싶은 사람들,279
 장기적인 사업 계획을 위해 대출 상품을 이용하고 싶은 사람들,279
본인의 주택 소유자이며 대출을 통해 집을 유지하고 싶어하는 사람,280
 주택을 소유하고 있지만 추가 자금이 필요한 사람,280
 주택 소유자이지만 경제적인 이유로 월세나 분양 아파트 등을 고민하고 있는 사람,280
 주택 소유자이지만 기타 경제적인 상황으로 긴급한 자금이 필요한 사람,280
 주택 소유자이지만 기존 대출 상품보다 저렴한 금리와 상환 조건을 찾는 사람,280
주택 소유자: 본인 명의의 주택을 가지고 있는 사람,281
 금융비용 감소를 원하는 사람: 가계 Life Cycle별 수입과 지출의 불균형을 해소하고 금융비용을 절감하고 싶어하는 사람,281
 우대금리를 받고 싶은 사람: 거래실적에 따라 우대금리를 받을 수 있는 사람,281
 주거용 오피스텔 소유자: 주거용 오피스텔을 가지고 있는 사람,281
" 대출 상환 방식을 유연하게 원하는 사람: 대출 갱신이 가능하고, 상환 방법이 다양한 사람",281
주택가격 하락으로 LTV가 70%를 초과한 최근 6개월 이내 30일 이상 연속하여 연체된 기록이 없는 주택담보대출을 보유한 개인,282
 대한민국 국민이며 민법상 성년인 자,282
 NICE의 CB등급이 1~8등급에 해당하는 고객,282
 신한은행 심사를 통과한 고객,282
 부부합산 연소득 6천만원 이하인 고객,282
부동산 중개업소를 통해 주택을 임차하고 임차보증금을 5% 이상 지불한 사람들,283
 부부합산 연소득이 6천만원 이하이면서 부양가족이 있는 무주택 세대주,283
 공공임대사업자이거나 부동산 중개업소를 통한 임차차계약이 있는 사람들,283
 주택금융신용보증서를 발급받을 수 있는 사람들,283
" 주택 임차보증금이 수도권은 3억원 이하, 수도권 이외의 지역은 2억원 이하인 사람들",283
주택을 구입하려고 하는 세대주와 세대원들이 대출 상품을 이용할 것.,284
 연간 소득이 6천만원 이하이면서 부부 합산 총소득이 6천만원 이하인 가구들이 대출 상품을 이용할 것.,284
" 단독세대주를 포함하여 만 30세 미만의 단독세대주는 제외되나, 만 30세 미만, 미혼 세대주가 직계존속중 1인 이상과 동일세대를 구성하는 경우 대출 상품을 이용할 것.",284
 주거전용면적이 85㎡ 이하인 주택 중 평가액이 5억원 이하인 사람들이 대출 상품을 이용할 것.,284
" 다자녀 가구, 신혼가구, 생애최초 주택구입자 등 특정 대출 대상자들에게 우대금리가 적용되므로 이들이 대출 상품을 이용할 것.",284
근로자 중에서도 소액의 대출이 필요한 사람들,285
 연금 소득자로서 약간의 추가자금이 필요한 사람들,285
 이자율이 높더라도 급한 상황에서 대출을 받아야 하는 사람들,285
 이전에 다른 대출을 상환하는데 어려움이 있는 사람들,285
"주택을 담보로 제공할 수 있는 아파트, 주상복합아파트, 단독주택, 다가구주택, 다세대주택, 연립빌라, 주거면적이 12이상인 상가주택 등을 가진 사람.",286
 최근 3개월내 공과금(지로) 관리비를 이체한 실적이 있는 사람.,286
 신한카드(신용) 당행결제계좌를 지정하고 최근 3개월내에 매입실적이 50만원 이상인 사람.,286
 최근 3개월내에 1회 50만원 이상의 급여이체가 확인되거나 최근 3개월내에 3개 이상의 카드사(신한카드 포함)로부터 매출대금이 당행으로 입금된 사람.,286
 국토부 부동산 전자계약을 할 경우 0.2%의 우대금리를 적용받을 수 있는 사람.,286
젊은 사람들 중 소득이 안정적인 사람들이 이 대출 상품을 이용할 것이다.,287
 대출 상품의 낮은 금리와 상대적으로 높은 대출 한도를 필요로 하는 사람들이 이 대출 상품을 이용할 것이다.,287
 대출 상품의 긴 상환 기간을 필요로 하는 사람들이 이 대출 상품을 이용할 것이다.,287
 대출 상품의 높은 금리를 수용할 수 있는 사람들이 이 대출 상품을 이용할 것이다.,287
 대출 상품의 원리금 균등 상환 방식을 선호하는 사람들이 이 대출 상품을 이용할 것이다.,287
자유직업을 가진 사람들,288
 파견근무를 하는 사람들,288
 계약직 근로자,288
주부들이 자신의 경제적 이윤을 창출하기 위해 사업을 시작하고자 할 때,289
 가정 경제를 책임지며 부업 혹은 사업을 운영하고자 하는 주부들,289
 자녀의 교육비나 결혼비 등 가정 경제적인 이윤을 추구하고자 하는 주부들,289
 비상금 마련이 필요한 주부들,289
 부동산 투자나 자동차 구매 등의 목적을 위해 대출을 원하는 주부들,289
소득이 불안정한 자유직업 소유자,290
 개인 사업을 운영하는 사람,290
 프리랜서로 일하는 사람,290
 파견 근무를 하는 근로자,290
 계약직으로 일하는 사람,290
급전이 필요한 대출신청자들,291
 소액 대출을 원하는 대출신청자들,291
 비대면으로 대출을 신청하고 싶은 대출신청자들,291
" 근로자, 사업자, 연금소득자 등 다양한 소득 유형이 있는 대출신청자들",291
 금리가 19.9%까지인 대출 상품을 찾는 대출신청자들,291
현재 타사 대출을 이용 중인 고객: 이미 대출 경험이 있는 사람들이 갈아타기OK론을 이용할 것으로 예상됩니다.,292
9%부터 시작되는 금리로 제공되는 이 대출 상품은 낮은 금리를 원하는 사람들의 관심을 끌 것입니다.,292
" 대출 한도가 필요한 사람: 10만원부터 5000만원까지의 대출 한도를 제공하므로, 금전적인 필요가 있는 사람들이 해당 상품을 이용하기 좋을 것입니다.",292
" 상환 기간이 중요한 사람: 12개월부터 60개월까지의 상환 기간을 선택할 수 있기 때문에, 상환 기간에 맞춰 자유롭게 대출을 상환하고 싶은 사람들에게 유용할 것입니다.",292
" 원금균등 또는 원리금균등 상환 방식을 선호하는 사람: 갈아타기OK론은 만기일시 원금균등 상환 방식 또는 원리금균등 상환 방식을 선택할 수 있기 때문에, 상환 방식에 대한 선호도가 있는 사람들이 해당 상품을 선택할 것으로 예상됩니다.",292
개인사업을 운영하고 있는 사람들,293
 사업을 수행하며 재무적인 지원이 필요한 사람들,293
 개인사업자로서 신용대출이 가능한 사람들,293
 대출금을 장기적으로 상환할 수 있는 사람들,293
 대출한도가 5000만원까지 가능하여 큰 규모의 자금이 필요한 사람들,293
안정적인 직장을 가진 공무원들이 우량OK론을 이용하며 대출금액과 상환 기간 등을 유연하게 선택할 수 있다.,294
 상장기업에서 일하는 직장인들이 우량OK론을 활용해 저금리로 대출을 받아 사업 확장이나 투자 등에 활용할 수 있다.,294
 전문직으로서 안정된 소득을 얻는 직장인들은 우량OK론을 신청하여 생활비나 개인 목적에 따른 금융적인 지원을 받을 수 있다.,294
 보유한 자산이나 고용형태를 고려해 원하는 대출한도와 상환방식을 선택하면서 우량OK론을 신청할 수 있는 사람들이다.,294
 연소득과 신용 등급을 고려하여 우량OK론을 이용할 수 있는 사람들은 금융기관에 안정적인 신용공여를 유지하여 대출 한도와 금리 혜택을 받을 수 있을 것이다.,294
자영업을 하고 있는 개인 사업자들 중에서 대출을 받아서 사업을 확장하고 싶은 사람들이 이 대출 상품을 이용할 것이다.,295
" 금리가 상대적으로 낮고, 대출한도가 적당한 범위에 해당하는 자영업 사장님들이 이 대출 상품을 이용할 것이다.",295
 사업을 운영한 지 6개월 이상인 사람들 중에서 현금 유입이나 인건비 등으로 자금이 부족한 사업자들이 이 대출 상품을 이용할 것이다.,295
 월 상환액이 적당하게 나누어져 있는 원리금균등 상환방식을 선호하는 사람들이 이 대출 상품을 이용할 것이다.,295
 사업을 성공적으로 운영하고 있어서 대출금 상환에 어려움이 없는 사람들이 이 대출 상품을 이용할 것이다.,295
 개인사장님,296
직장인,296
 자유직업소득자,296
 파견근무 계약직근로자,296
20대 청년 사업자,297
 근로자이면서 월세로 주거하는 30대,297
 청년으로서 근로자인 20대,297
 20~30대 사업자,297
 청년으로서 월세로 주거하는 30대 이상,297
주택을 소유하고 있는 개인 또는 개인사업자가 필요로 하는 사람들,298
 주택 담보 대출을 받을 수 있는 법인의 대표자 혹은 소유주,298
 주택을 담보로 대출을 받을 수 있는 사람들 중에서 후순위 대출을 원하는 사람들,298
 주택 담보로 대출을 받을 수 있는 사업자 중에서 변동금리가 아닌 고정금리를 선택하길 원하는 사람들,298
 최대 LTV 95%로 주택을 담보로 대출받을 수 있는 개인이나 개인사업자 중에서 만기일시상환이 아닌 분할상환 방법을 원하는 사람들,298
"주택을 소유한 개인, 개인사업자 및 법인이 대출 상품을 이용할 것이다.",299
 대출 상품의 금리는 기준금리에 가산된 범위 내에서 변동된다.,299
 대출 한도는 하단의 동일 상품한도금리에 따라 결정된다.,299
" 대출은 1년부터 30년까지 상환 기간을 선택할 수 있고, 사업자금 대출의 경우 최대 10년까지 가능하다.",299
" 대출 상품의 상환 방법은 만기일시상환, 원(리)금균등분할상환, 3년거치 분할상환, 마이너스통장(사업자 대출) 중 선택할 수 있다.",299
임대주택에 거주하고 있는 사람들: 임대주택에 거주하는 사람들은 임대OK론을 이용하여 보증금을 최대한 확보하고자 할 것입니다.,300
 입주예정인 사람들: 입주 예정인 사람들은 임대보증금을 마련하기 위해 임대OK론을 이용할 것입니다.,300
" 금융기관 연체자: 임대OK론은 현재 금융기관의 연체자도 대출 가능하므로, 연체자들이 대출 상품을 이용할 가능성이 있습니다.",300
" 임대보증금이 부족한 사람들: 임대보증금의 최대 130% 이내로 대출이 가능하므로, 보증금이 부족한 사람들이 임대OK론을 이용하여 부족한 금액을 마련할 것입니다.",300
" 현금 흐름이 일시적으로 어려운 사람들: 임대OK론은 최대 5년 이내의 상환 기간을 제공하므로, 현금 흐름이 일시적으로 어려운 사람들이 이용할 가능성이 있습니다.",300
전세계약을 체결하고 신규 입주자금이 필요한 사람들,301
 생활자금이 필요한 사람들,301
 전세 계약 예정이 있는 사람들,301
 전세 보증금을 담보로 활용하고 싶은 사람들,301
 원리금 균등 상환이나 원금 일시상환을 원하는 사람들,301
소득증빙이 가능하고 대출 한도가 1억원까지인 직장인.,302
" 상환 능력이 확인되는 고객이며, 대출 한도가 1억5천만원까지인 공무원.",302
 프리랜서로 소득을 확인할 수 있는 자영업자로 상환 기간이 최대 10년인 사람.,302
 전문직으로 상환 방법이 원리금 균등 분할 상환인 사람.,302
 대출 상품의 최저 연이자율인 6.9%로 금리를 지불하는 사람.,302
차량을 소유하고 있는 자동차 관련 업무를 하는 직장인,303
 현금이 필요하거나 긴급한 자금이 필요한 개인 사업주,303
 차량을 소유하고 있는 대학생 또는 대학 졸업생,303
 차량을 소유하고 있는 소비자가 높은 월 소득을 받는 사람,303
 차량을 소유하고 있지만 신용도가 낮은 사람,303
급전이 필요한 직장인들,304
 자영업을 하며 재정적으로 어려움을 겪는 사람들,304
 중금리 대출 상품을 찾고 있는 사람들,304
